oewn-Agenise-v	Agenise	oewn-agenise__2.30.00..	2:30:00	oewn-00518445-v
oewn-Agenize-v	Agenize	oewn-agenize__2.30.00..	2:30:00	oewn-00518445-v
oewn-Americanise-v	Americanise	oewn-americanise__2.30.01..	2:30:01	oewn-00411331-v
oewn-Americanise-v	Americanise	oewn-americanise__2.30.00..	2:30:00	oewn-00410568-v
oewn-Americanize-v	Americanize	oewn-americanize__2.30.01..	2:30:01	oewn-00411331-v
oewn-Americanize-v	Americanize	oewn-americanize__2.30.00..	2:30:00	oewn-00410568-v
oewn-Balkanise-v	Balkanise	oewn-balkanise__2.41.00..	2:41:00	oewn-02475134-v
oewn-Balkanize-v	Balkanize	oewn-balkanize__2.41.00..	2:41:00	oewn-02475134-v
oewn-Charleston-v	Charleston	oewn-charleston__2.38.00..	2:38:00	oewn-01901090-v
oewn-Christianise-v	Christianise	oewn-christianise__2.30.00..	2:30:00	oewn-00386536-v
oewn-Christianize-v	Christianize	oewn-christianize__2.30.01..	2:30:01	oewn-00386756-v
oewn-Christianize-v	Christianize	oewn-christianize__2.30.00..	2:30:00	oewn-00386536-v
oewn-DJ-v	DJ	oewn-dj__2.32.00..	2:32:00	oewn-01035218-v
oewn-Europeanise-v	Europeanise	oewn-europeanise__2.30.00..	2:30:00	oewn-00410980-v
oewn-Europeanise-v	Europeanise	oewn-europeanise__2.30.01..	2:30:01	oewn-00410794-v
oewn-Europeanize-v	Europeanize	oewn-europeanize__2.30.01..	2:30:01	oewn-00410794-v
oewn-Europeanize-v	Europeanize	oewn-europeanize__2.30.00..	2:30:00	oewn-00410980-v
oewn-FTP-v	FTP	oewn-ftp__2.40.00..	2:40:00	oewn-02238134-v
oewn-French-v	French	oewn-french__2.35.00..	2:35:00	oewn-01301713-v
oewn-Frenchify-v	Frenchify	oewn-frenchify__2.30.01..	2:30:01	oewn-00411742-v
oewn-Frenchify-v	Frenchify	oewn-frenchify__2.30.00..	2:30:00	oewn-00411574-v
oewn-G.I.-v	G.I.	oewn-g.i.__2.35.00..	2:35:00	oewn-01536503-v
oewn-GI-v	GI	oewn-gi__2.35.00..	2:35:00	oewn-01536503-v
oewn-Islamise-v	Islamise	oewn-islamise__2.30.01..	2:30:01	oewn-00386923-v
oewn-Islamise-v	Islamise	oewn-islamise__2.30.00..	2:30:00	oewn-00386356-v
oewn-Islamize-v	Islamize	oewn-islamize__2.30.01..	2:30:01	oewn-00386923-v
oewn-Islamize-v	Islamize	oewn-islamize__2.30.00..	2:30:00	oewn-00386356-v
oewn-Latinise-v	Latinise	oewn-latinise__2.32.00..	2:32:00	oewn-00997570-v
